Timestamp,Date,Time,Start or End,Office or Home,Why corrected?,amended time,Final Corrected Time,amended day,Final Corrected Day
06/11/2019 18:42:38,06/11/2019,18:42:38,Start / Enter,Working in Office,Missing entry - assumed time,09:30:00,09:30:00,,06/11/2019
06/11/2019 18:42:38,06/11/2019,18:42:38,End / Leave,Working in Office,Manually entered later,17:45:00,17:45:00,,06/11/2019
07/11/2019 10:20:21,07/11/2019,10:20:21,Start / Enter,Working in Office,Manually entered later,09:25:00,09:25:00,,07/11/2019
07/11/2019 23:26:27,07/11/2019,23:26:27,End / Leave,Working in Office,Manually entered later,18:00:00,18:00:00,,07/11/2019
10/11/2019 22:31:24,10/11/2019,22:31:24,Start / Enter,Learning (self-directed),Manually entered later,08:30:00,08:30:00,,10/11/2019
10/11/2019 22:31:33,10/11/2019,22:31:33,End / Leave,Learning (self-directed),Manually entered later,10:00:00,10:00:00,,10/11/2019
10/11/2019 22:31:46,10/11/2019,22:31:46,Start / Enter,Working from Home or remote location,Manually entered later,21:00:00,21:00:00,,10/11/2019
10/11/2019 22:32:00,10/11/2019,22:32:00,End / Leave,Working from Home or remote location,Manually entered later,22:30:00,22:30:00,,10/11/2019
11/11/2019 23:28:30,11/11/2019,23:28:30,Start / Enter,Working in Office,Manually entered later,08:15:00,08:15:00,,11/11/2019
11/11/2019 23:28:38,11/11/2019,23:28:38,End / Leave,Working in Office,Manually entered later,18:25:00,18:25:00,,11/11/2019
11/11/2019 23:28:48,11/11/2019,23:28:48,Start / Enter,Working from Home or remote location,Manually entered later,21:30:00,21:30:00,,11/11/2019
11/11/2019 23:29:00,11/11/2019,23:29:00,End / Leave,Working from Home or remote location,Manually entered later,23:00:00,23:00:00,,11/11/2019
13/11/2019 09:14:21,13/11/2019,09:14:21,Start / Enter,Working in Office,Manually entered later,09:15:00,09:15:00,,13/11/2019
13/11/2019 09:14:34,13/11/2019,09:14:34,End / Leave,Working in Office,Manually entered later,14:30:00,14:30:00,,13/11/2019
13/11/2019 09:14:53,13/11/2019,09:14:53,Start / Enter,Working from Home or remote location,Manually entered later,16:05:00,16:05:00,,13/11/2019
13/11/2019 09:15:05,13/11/2019,09:15:05,End / Leave,Working from Home or remote location,Manually entered later,16:55:00,16:55:00,,13/11/2019
13/11/2019 22:34:22,13/11/2019,22:34:22,Start / Enter,Working in Office,Manually entered later,09:25:00,09:25:00,,13/11/2019
13/11/2019 22:34:31,13/11/2019,22:34:31,End / Leave,Working in Office,Manually entered later,18:30:00,18:30:00,,13/11/2019
13/11/2019 22:34:37,13/11/2019,22:34:37,Start / Enter,Working from Home or remote location,,,22:34:37,,13/11/2019
13/11/2019 22:34:37,13/11/2019,22:34:37,End / Leave,Working from Home or remote location,Missing entry - assumed time,23:30,23:30,,13/11/2019
14/11/2019 23:56:03,14/11/2019,23:56:03,Start / Enter,Learning (formal activity),Manually entered later,08:50:00,08:50:00,,14/11/2019
14/11/2019 23:56:13,14/11/2019,23:56:13,End / Leave,Learning (formal activity),Manually entered later,17:30:00,17:30:00,,14/11/2019
14/11/2019 23:56:29,14/11/2019,23:56:29,Start / Enter,Working from Home or remote location,Manually entered later,21:00:00,21:00:00,,14/11/2019
14/11/2019 23:56:41,14/11/2019,23:56:41,End / Leave,Working from Home or remote location,Manually entered later,22:30:00,22:30:00,,14/11/2019
19/11/2019 22:51:10,19/11/2019,22:51:10,Start / Enter,Working in Office,Manually entered later,09:20:00,09:20:00,,19/11/2019
19/11/2019 22:51:19,19/11/2019,22:51:19,End / Leave,Working in Office,Manually entered later,18:05:00,18:05:00,,19/11/2019
20/11/2019 17:37:39,20/11/2019,17:37:39,Start / Enter,Working in Office,Manually entered later,09:30:00,09:30:00,,20/11/2019
20/11/2019 17:37:48,20/11/2019,17:37:48,End / Leave,Working in Office,,,17:37:48,,20/11/2019
22/11/2019 08:00:51,22/11/2019,08:00:51,Start / Enter,Working from Home or remote location,Wrong day,,08:00:51,21/11/2019,21/11/2019
